state,districts,polsby,schwartzberg,convex,reock
Alabama,7,18.43,42.41,69.2,37.7
Arizona,9,30.05,53.3,74.82,45.21
Arkansas,4,19.89,43.98,68.49,38.87
California,53,22.58,46.86,72.64,38.47
Colorado,7,24.6,48,69.77,39.12
Connecticut,5,26.61,50.94,71.85,42.19
Florida,27,24.61,48.18,69.24,36.93
Georgia,4,25.83,50.46,75.5,44.07
Hawaii,2,8.56,29.1,67.58,36.85
Idaho,2,25.01,49.51,77.41,37.69
Illinois,18,16.64,39.91,61.03,31.07
Indiana,9,41.03,63.59,81.73,44.07
Iowa,4,39.97,62.92,78.02,44.13
Kansas,4,40.52,62.92,83.05,41.1
Kentucky,6,19.21,42.81,68.82,37.16
Louisiana,6,11.1,32.14,59.53,32.14
Maine,2,14.04,37.04,72.83,36.62
Maryland,8,8.08,27.67,49.63,24.68
Massachusetts,9,18.45,41.74,63.19,35.85
Michigan,14,26.03,49.38,69.73,35.1
Minnesota,8,33.03,56.85,76.8,40.88
Mississippi,4,23.33,47.58,76.84,38.08
Missouri,8,27.08,51.49,75.25,44.6
Nebraska,3,39.27,62.54,83.73,46.54
Nevada,4,52.44,72.22,89.2,48.12
NewHampshire,2,16.45,40.53,67.53,23.81
NewJersey,2,18.96,42.92,63.71,38.92
NewMexico,3,35.17,59.07,78.36,44.36
NewYork,27,31.81,55.24,73.53,40.35
NorthCarolina,13,11.51,32.17,59.62,29.46
Ohio,16,17.22,39.91,63.74,33.79
Oklahoma,5,24.98,49.91,68.58,36
Oregon,5,31.15,56.06,75.28,42.43
Pennsylvania,18,17.14,39.52,62.42,34.15
RhodeIsland,2,20.14,42.35,62.42,26.38
SouthCarolina,7,20.5,43.85,72.91,37.42
Tennessee,9,20.48,44.68,70.48,40.2
Texas,36,19.17,42.09,67.35,36.12
Utah,4,27.65,52.28,69.17,34.18
Virginia,11,14.42,37.28,67.58,27.89
Washington,10,21.19,44.74,71.39,34
WestVirginia,3,13.65,36.66,54.76,32.29
Wisconsin,8,21.85,47.58,75.64,44.43
